region,sub-region,intermediate-region,region-code,sub-region-code,intermediate-region-code
Asia,Southern Asia,,142,34,
Europe,Northern Europe,,150,154,
Europe,Southern Europe,,150,39,
Africa,Northern Africa,,2,15,
Oceania,Polynesia,,9,61,
Europe,Southern Europe,,150,39,
Africa,Sub-Saharan Africa,Middle Africa,2,202,17
Americas,Latin America and the Caribbean,Caribbean,19,419,29
,,,,,
Americas,Latin America and the Caribbean,Caribbean,19,419,29
Americas,Latin America and the Caribbean,South America,19,419,5
Asia,Western Asia,,142,145,
Americas,Latin America and the Caribbean,Caribbean,19,419,29
Oceania,Australia and New Zealand,,9,53,
Europe,Western Europe,,150,155,
Asia,Western Asia,,142,145,
Americas,Latin America and the Caribbean,Caribbean,19,419,29
Asia,Western Asia,,142,145,
Asia,Southern Asia,,142,34,
Americas,Latin America and the Caribbean,Caribbean,19,419,29
Europe,Eastern Europe,,150,151,
Europe,Western Europe,,150,155,
Americas,Latin America and the Caribbean,Central America,19,419,13
Africa,Sub-Saharan Africa,Western Africa,2,202,11
Americas,Northern America,,19,21,
Asia,Southern Asia,,142,34,
Americas,Latin America and the Caribbean,South America,19,419,5
Americas,Latin America and the Caribbean,Caribbean,19,419,29
Europe,Southern Europe,,150,39,
Africa,Sub-Saharan Africa,Southern Africa,2,202,18
Americas,Latin America and the Caribbean,South America,19,419,5
Americas,Latin America and the Caribbean,South America,19,419,5
Africa,Sub-Saharan Africa,Eastern Africa,2,202,14
Asia,South-eastern Asia,,142,35,
Europe,Eastern Europe,,150,151,
Africa,Sub-Saharan Africa,Western Africa,2,202,11
Africa,Sub-Saharan Africa,Eastern Africa,2,202,14
Africa,Sub-Saharan Africa,Western Africa,2,202,11
Asia,South-eastern Asia,,142,35,
Africa,Sub-Saharan Africa,Middle Africa,2,202,17
Americas,Northern America,,19,21,
Americas,Latin America and the Caribbean,Caribbean,19,419,29
Africa,Sub-Saharan Africa,Middle Africa,2,202,17
Africa,Sub-Saharan Africa,Middle Africa,2,202,17
